genes	Tissue.Celltype.specific.score	number.of.tissue.celltype.expressed
BCL6	0.0589824496959969	186
TP63	1.7139874058938	91
NSD2	0.0688892890066839	183
MXD4	0.0154690210967137	187
MSX1	0.708622232553036	153
RBPJ	0.0154396231752664	187
KLF3	0.0131067401149681	187
CLOCK	0.0423830174945174	186
NKX6-1	3.54947223405727	33
ATOH1	6.20449433879817	4
NFKB1	0.035570183470123	186
LEF1	0.657030464329637	152
PITX2	2.17335203109797	61
ELF2	0.0104861587750197	187
SMAD1	0.322850305787455	175
HMGB2	0.0228142143666999	187
IRF2	0.0121035954120552	187
ZDHHC11	1.03675071231883	119
IRX4	3.04655253008327	34
ZNF622	0.0244701674857167	186
ISL1	2.63982952810184	47
ZNF366	1.36544495986195	113
NR2F1	1.15623750209173	120
IRF1	0.0281575807976452	187
ZCCHC10	0.02117463986985	186
TCF7	0.161681102345145	182
PITX1	1.60147562144221	98
SMAD5	0.0479000648331282	184
EGR1	0.0810526049590315	187
NR3C1	0.0132089711464143	187
CDX1	3.18841759262978	30
EBF1	0.653278345581438	158
IRF4	0.521185495277257	159
TFAP2A	1.42994843030199	101
GCM2	4.97113715156571	7
E2F3	0.0928344193345437	183
SOX4	0.107058975978917	184
ZSCAN31	0.493816411966769	150
POU5F1	1.07966087652339	117
PBX2	0.0179845521982873	187
RXRB	0.0439148348987964	183
PHF1	0.0416286980134559	185
HMGA1	0.0525149626334613	186
SPDEF	1.83927020777842	80
PPARD	0.0841553245664087	182
ETV7	0.721195388338375	143
NFYA	0.0561295144051171	184
SRF	0.0581726862114134	183
RUNX2	0.328231270747452	168
TFAP2B	3.17999482026655	35
GCM1	2.57805576776683	44
BACH2	0.393624530717558	166
SIM1	3.35595189689106	30
PRDM1	0.133059425959336	185
HSF2	0.060287635303177	185
HEY2	1.04317502646657	128
TCF21	2.07059314606553	73
MYB	1.03329173692981	122
PLAGL1	0.141654776522996	178
ESR1	0.79587762372074	135
TBXT	5.48120677100705	7
TBP	0.11715124765787	176
MAFK	0.0467961883337855	186
ZDHHC4	0.0461396548734097	185
ETV1	0.811949081098836	136
AHR	0.111506515237803	182
TWIST1	1.21011541204402	121
SP4	0.0686195969920909	184
HOXA1	0.891362555072005	118
HOXA2	1.91065847337042	69
HOXA5	0.694363359007638	148
HOXA6	1.67300143625586	81
HOXA9	1.01224642009979	121
TBX20	3.83049342503836	20
GLI3	0.925407590648897	131
MLXIPL	1.01250097647241	131
BHLHA15	3.61291774822134	22
ZKSCAN5	0.127328963234245	177
ZSCAN21	0.154614622181401	177
HBP1	0.00689793807390889	187
TFEC	1.08163531148602	130
IRF5	0.571270610695799	156
EZH2	0.146572250284444	180
ZNF746	0.0574497432953175	183
ZNF467	0.406869112383236	163
GATA4	3.07938901023624	32
ZNF705D	7.54689445988764	1
ZDHHC2	0.0410744831251919	185
EGR3	0.190726176960273	179
HMBOX1	0.0281101902820509	186
CEBPD	0.0665460934027231	186
SNAI2	0.872562830024964	138
PLAG1	0.282793138953041	173
