ID	Uniprot
ZNF614	Q8N883
CGAS	Q8N884
ZNF366	Q8N895
ZNF513	Q8N8E2
ZNF491	Q8N8L2
ZFP41	Q8N8Y5
ZNF454	Q8N9F8
BANP	Q8N9N5
ZNF610	Q8N9Z0
L3MBTL4	Q8NA19
ZNF579	Q8NAF0
ZSCAN4	Q8NAM6
ZNF511	Q8NB15
KDM1B	Q8NB78
GLIS1	Q8NBF1
ZNF114	Q8NC26
ZNF784	Q8NCA9
HJURP	Q8NCD3
ZBTB44	Q8NCP5
ZNF280C	Q8ND82
ZNF248	Q8NDW4
ZNF740	Q8NDX6
GLIS3	Q8NEA6
ZNF548	Q8NEK5
ZNF680	Q8NEM1
SUPT20H	Q8NEM7
ZNF555	Q8NEP9
KMT2C	Q8NEZ4
ARID1B	Q8NFD5
TET1	Q8NFU7
KDM2B	Q8NHM5
ZFP28	Q8NHY6
MBD3L2	Q8NHZ7
CTCFL	Q8NI51
ZNF563	Q8TA94
SNIP1	Q8TAD8
SMARCC2	Q8TAQ2
NKX2-3	Q8TAU0
ZSCAN18	Q8TBC5
BAHD1	Q8TBE0
ZNF502	Q8TBZ5
ZNF596	Q8TC21
ZNF507	Q8TCN5
ZNF398	Q8TD17
KLF14	Q8TD94
SP7	Q8TDD2
GRHL3	Q8TE85
DOT1L	Q8TEK3
CREB3L4	Q8TEY5
ZNF418	Q8TF45
ZNF384	Q8TF68
ZNF473	Q8WTR7
SETD7	Q8WTS6
GTF3C2	Q8WUA4
GATAD1	Q8WUU5
LEO1	Q8WVC0
STAG1	Q8WVM7
HNRNPLL	Q8WVV9
GATAD2B	Q8WXI9
AUTS2	Q8WXX7
BBX	Q8WY36
THAP4	Q8WY91
BMAL2	Q8WYA1
ING5	Q8WYH8
JDP2	Q8WYK2
HSD17B8	Q92506
BAP1	Q92560
MAML1	Q92585
ZNF592	Q92610
ZNF516	Q92618
GTF3A	Q92664
ESR2	Q92731
TFAP2C	Q92754
HDAC2	Q92769
DPF2	Q92785
PROX1	Q92786
CREBBP	Q92793
TAF15	Q92804
HOXB13	Q92826
KAT2A	Q92830
KAT2B	Q92831
JARID2	Q92833
ATOH1	Q92858
UPF1	Q92900
GATA6	Q92908
SMARCC1	Q92922
DLX4	Q92988
KAT5	Q92993
BRF1	Q92994
USP7	Q93009
MED12	Q93074
LHX4	Q969G2
SMARCE1	Q969G3
L3MBTL2	Q969R5
ZNF622	Q969S3
PMEPA1	Q969W9
ISL2	Q96A47
PBXIP1	Q96AQ6
E2F7	Q96AV8
CREB3L1	Q96BA8
PHF21A	Q96BD5
ZNF669	Q96BR6
ZBTB8A	Q96BR9
CENPT	Q96BT3
ZNF707	Q96C28
ZNF524	Q96C55
INTS12	Q96CB8
ZNF501	Q96CX3
ZBTB10	Q96DT7
SIRT1	Q96EB6
ZNF837	Q96EG3
THAP11	Q96EK4
MCRS1	Q96EZ8
DDX11	Q96FC9
SIPA1	Q96FS4
HMCES	Q96FZ2
ZNF274	Q96GC6
ZNF486	Q96H40
ZNF419	Q96HQ0
RBM17	Q96I25
RAX2	Q96IS3
HIC2	Q96JB3
CHAMP1	Q96JM3
ZFP91	Q96JP5
ZNF514	Q96K75
ZNF521	Q96K83
ZNF512B	Q96KM6
EHMT2	Q96KQ7
ZNF354B	Q96LW1
ZSCAN31	Q96LW9
ZNF597	Q96LX8
ZNF512	Q96ME7
ZFP42	Q96MM3
ZNF488	Q96MN9
ZNF560	Q96MR9
ZNF778	Q96MU6
ZNF48	Q96MX3
ZNF75A	Q96N20
ZNF830	Q96NB3
ZNF558	Q96NG5
ZNF582	Q96NG8
ZFP3	Q96NJ6
ZIM3	Q96PE6
RBM14	Q96PK6
ZNF317	Q96PQ6
LMTK3	Q96Q04
ALKBH3	Q96Q83
ZNF300	Q96RE9
NR1H4	Q96RI1
FERD3L	Q96RJ6
CIC	Q96RK0
CRAMP1	Q96RY5
WRNIP1	Q96S55
SRPK1	Q96SB4
ATOH8	Q96SQ7
ZNF382	Q96SR6
SIN3A	Q96ST3
ZIC5	Q96T25
RBM15	Q96T37
INSM2	Q96T92
TCF12	Q99081
PHOX2B	Q99453
CDC5L	Q99459
PSMD1	Q99460
RNF2	Q99496
MPHOSPH8	Q99549
FEV	Q99581
MNT	Q99583
ZBTB18	Q99592
TBX5	Q99593
TEAD3	Q99594
ELF4	Q99607
KLF6	Q99612
PHB2	Q99623
CDX2	Q99626
ZNF184	Q99676
GFI1	Q99684
SMAD5	Q99717
SIGMAR1	Q99720
NKX3-1	Q99801
EPAS1	Q99814
EBNA1BP2	Q99848
ARID3A	Q99856
PRMT1	Q99873
ASCL2	Q99929
HINFP	Q9BQA5
OVOL2	Q9BRP0
PYGO2	Q9BRQ0
ZNF670	Q9BS34
ZNF2	Q9BSG1
ZNF577	Q9BSK1
PCGF1	Q9BSM1
DIDO1	Q9BTC0
MTA3	Q9BTC8
ZNF692	Q9BU19
ZSCAN5A	Q9BUG6
HNRNPUL1	Q9BUJ2
ZNF426	Q9BUY5
ZNF747	Q9BV97
PHF20	Q9BVI0
MXD3	Q9BW11
REPIN1	Q9BWE0
ZNF416	Q9BWM5
SCRT1	Q9BWW7
SALL3	Q9BXA9
KLF16	Q9BXK1
FANCD2	Q9BXW9
HDAC8	Q9BY41
KDM5D	Q9BY66
HES7	Q9BYE0
PCGF6	Q9BYE7
NFKBIZ	Q9BYH8
ZNF341	Q9BYN7
PBX4	Q9BYU1
BACH2	Q9BYV9
GLIS2	Q9BZE0
BARHL1	Q9BZE3
IRX2	Q9BZI1
TBL1XR1	Q9BZK7
FOXP3	Q9BZS1
FOXQ1	Q9C009
ZFHX2	Q9C0A1
ZNF436	Q9C0F3
ZNF407	Q9C0G0
BHLHE41	Q9C0J9
BCL11B	Q9C0K0
TGIF2	Q9GZN2
MAP1LC3B	Q9GZQ8
PRDM14	Q9GZV8
ZNF350	Q9GZX5
HOXD1	Q9GZZ0
XRN2	Q9H0D6
SAP130	Q9H0E3
GZF1	Q9H116
ING2	Q9H160
ALX4	Q9H161
BCL11A	Q9H165
NEUROG2	Q9H2A3
LHX5	Q9H2C1
EPC1	Q9H2F5
ADNP	Q9H2P0
MIXL1	Q9H2W2
FOXP1	Q9H334
TP63	Q9H3D4
NELFA	Q9H3P2
KDM4C	Q9H3R0
PRDM12	Q9H4Q4
ZSCAN16	Q9H4T2
EBF3	Q9H4W6
ZNF335	Q9H4Z2
ZNF644	Q9H582
ZNF768	Q9H5H4
IKZF5	Q9H5V7
STN1	Q9H668
SOX17	Q9H6I2
TDRD3	Q9H7E2
KAT8	Q9H7Z6
BRD9	Q9H8M2
ZNF395	Q9H8N7
VRTN	Q9H8Y1
NANOG	Q9H9S0
MLXIP	Q9HAP2
BRF2	Q9HAW0
PATZ1	Q9HBE1
TAF9B	Q9HBM6
BARX1	Q9HBU1
ARNT2	Q9HBZ2
CBX8	Q9HC52
ZBTB20	Q9HC78
HES4	Q9HCC6
ZNF532	Q9HCE3
METTL14	Q9HCE5
ZBTB26	Q9HCK0
CHD8	Q9HCK8
TCF7L1	Q9HCS4
HMG20A	Q9NP66
SSU72	Q9NP77
MYNN	Q9NPC7
SIX2	Q9NPC8
DMAP1	Q9NPF5
UBN1	Q9NPG3
BRD7	Q9NPI1
DCP1A	Q9NPI6
SCRT2	Q9NQ03
LHX9	Q9NQ69
HEYL	Q9NQ87
TCF7L2	Q9NQB0
PRDM9	Q9NQV7
PRDM6	Q9NQX0
PRDM5	Q9NQX1
ZNF331	Q9NQX6
DDX21	Q9NR30
ASH1L	Q9NR48
BATF3	Q9NR55
SIRT7	Q9NRC8
DROSHA	Q9NRR4
ARHGAP35	Q9NRY4
SALL1	Q9NSC2
SIRT3	Q9NTG7
ZBTB40	Q9NUA8
ZNF701	Q9NV72
INTS13	Q9NVM9
THAP1	Q9NVV9
RBM22	Q9NW64
ZNF586	Q9NXT0
BCLAF1	Q9NYF8
CDK12	Q9NYV4
RBAK	Q9NYW8
EHF	Q9NZC4
SMARCAL1	Q9NZC9
GRHL1	Q9NZI5
UBP1	Q9NZI7
DTL	Q9NZJ0
ADA2	Q9NZK5
ZNF224	Q9NZL3
BICRA	Q9NZM4
FOXJ2	Q9P0K8
ZNF581	Q9P0T4
CXXC1	Q9P0U4
HMG20B	Q9P0W2
ZBTB4	Q9P1Z0
ZFAT	Q9P243
